zip3,zip3.city.usps,zip3.state.usps,zip3.city.wiki,zip3.state.wiki
001,,,,
002,,,,
003,,,,
004,,,,
005,Mid-Island,NY,Holtsville,NY
006,San Juan,PR,San Juan,PR
007,San Juan,PR,San Juan,PR
008,San Juan,PR,Virgin Islands,VI
009,San Juan,PR,San Juan,PR
010,Springfield,MA,Springfield,MA
011,Springfield,MA,Springfield,MA
012,Pittsfield,MA,Pittsfield,MA
013,Springfield,MA,Greenfield,MA
014,Central,MA,Fitchburg,MA
015,Central,MA,Worcester,MA
016,Worcester,MA,Worcester,MA
017,Central,MA,Framingham,MA
018,Middlesex-Esx,MA,Woburn,MA
019,Middlesex-Esx,MA,Lynn,MA
020,Brockton,MA,Brockton,MA
021,Boston,MA,Boston,MA
022,Boston,MA,Boston,MA
023,Brockton,MA,Brockton,MA
024,Northwest Bos,MA,Lexington,MA
025,Cape Cod,MA,Cape Cod,MA
026,Cape Cod,MA,Cape Cod,MA
027,Providence,RI,Providence (RI),MA
028,Providence,RI,Providence,RI
029,Providence,RI,Providence,RI
030,Manchester,NH,Manchester,NH
031,Manchester,NH,Manchester,NH
032,Manchester,NH,Waterville Valley,NH
033,Concord,NH,Concord,NH
034,Manchester,NH,Keene,NH
035,White Riv Jct,VT,Littleton,NH
036,White Riv Jct,VT,Bellows Falls (VT),NH
037,White Riv Jct,VT,White River Junction (VT),NH
038,Portsmouth,NH,Portsmouth,NH
039,Portsmouth,NH,Portsmouth (NH),ME
040,Portland,ME,Portland,ME
041,Portland,ME,Portland,ME
042,Portland,ME,Auburn,ME
043,Portland,ME,Augusta,ME
044,Bangor,ME,Bangor,ME
045,Portland,ME,Bath,ME
046,Bangor,ME,Ellsworth,ME
047,Bangor,ME,Houlton,ME
048,Portland,ME,Rockland,ME
049,Bangor,ME,Waterville,ME
050,White Riv Jct,VT,White River Junction,VT
051,White Riv Jct,VT,Bellows Falls,VT
052,White Riv Jct,VT,Bennington,VT
053,White Riv Jct,VT,Brattleboro,VT
054,Burlington,VT,Burlington,VT
055,Middlesex-Esx,MA,Andover,MA
056,Burlington,VT,Montpelier,VT
057,White Riv Jct,VT,Rutland,VT
058,White Riv Jct,VT,St. Johnsbury,VT
059,White Riv Jct,VT,St. Johnsbury,VT
060,Hartford,CT,Hartford,CT
061,Hartford,CT,Hartford,CT
062,Hartford,CT,Willimantic,CT
063,Southern,CT,New London,CT
064,Southern,CT,New Haven,CT
065,New Haven,CT,New Haven,CT
066,Bridgeport,CT,Bridgeport,CT
067,Waterbury,CT,Waterbury,CT
068,Stamford,CT,Stamford,CT
069,Stamford,CT,Stamford,CT
070,Newark,NJ,Newark,NJ
071,Newark,NJ,Newark,NJ
072,Elizabeth,NJ,Elizabeth,NJ
073,Jersey City,NJ,Jersey City,NJ
074,Paterson,NJ,Paterson,NJ
075,Paterson,NJ,Paterson,NJ
076,Hackensack,NJ,Hackensack,NJ
077,Monmouth,NJ,Red Bank,NJ
078,West Jersey,NJ,Dover,NJ
079,West Jersey,NJ,Summit,NJ
080,South Jersey,NJ,Cherry Hill,NJ
081,Camden,NJ,Camden,NJ
